trade_date,index_code,index_name_cn,open,high,low,close,change,change_pct,trading_volume,trading_value
20070119,930955,红利低波100,2194.54,2273.74,2194.54,2273.74,,3.91,2755.73,205.63
20070122,930955,红利低波100,2282.75,2379.46,2282.75,2379.46,,4.65,3120.9,230.77
20070123,930955,红利低波100,2393.87,2410.33,2324.75,2409.37,,1.26,3317.12,261.77
20070124,930955,红利低波100,2412.37,2447.61,2392.74,2434.34,,1.04,2946.6,242.16
20070125,930955,红利低波100,2415.97,2415.97,2327.58,2327.58,,-4.39,2648.76,217.14
20070126,930955,红利低波100,2305.3,2350.43,2209.64,2349.63,,0.95,2564.81,203.81
20070129,930955,红利低波100,2369.76,2428.47,2369.76,2428.47,,3.36,2878.88,233.61
20070130,930955,红利低波100,2437.34,2450.5,2407.82,2425.58,,-0.12,3037.49,241.26
20070131,930955,红利低波100,2419.26,2428.96,2293.0,2301.21,,-5.13,2905.42,221.83
20070201,930955,红利低波100,2273.3,2319.19,2232.86,2302.22,,0.04,2308.94,176.7
20070202,930955,红利低波100,2306.99,2320.78,2245.0,2245.23,,-2.48,2106.96,167.2
20070205,930955,红利低波100,2236.7,2273.79,2228.73,2247.19,,0.09,1696.92,130.99
20070206,930955,红利低波100,2251.89,2296.05,2230.99,2296.05,,2.17,2607.22,204.97
20070207,930955,红利低波100,2309.71,2340.17,2309.71,2339.49,,1.89,2596.01,211.9
20070208,930955,红利低波100,2347.25,2401.85,2340.45,2401.85,,2.67,2200.83,174.4
20070209,930955,红利低波100,2410.22,2417.66,2374.93,2403.24,,0.06,2009.53,162.22
20070212,930955,红利低波100,2408.91,2460.57,2408.91,2460.57,,2.39,2070.26,163.97
20070213,930955,红利低波100,2469.41,2500.71,2457.99,2497.64,,1.51,1988.08,159.12
20070214,930955,红利低波100,2497.64,2563.81,2497.64,2549.28,,2.07,2353.57,191.65
20070215,930955,红利低波100,2560.9,2624.15,2560.9,2624.15,,2.94,2558.49,207.83
20070216,930955,红利低波100,2646.91,2698.76,2633.72,2654.35,,1.15,2738.72,225.34
20070226,930955,红利低波100,2667.61,2770.96,2647.92,2770.23,,4.37,2858.14,238.57
20070227,930955,红利低波100,2782.82,2806.85,2502.72,2502.86,,-9.65,3966.82,319.11
20070228,930955,红利低波100,2462.98,2639.91,2462.98,2627.48,,4.98,3108.0,241.73
20070301,930955,红利低波100,2641.04,2641.04,2529.18,2570.23,,-2.18,3071.39,232.45
20070302,930955,红利低波100,2566.26,2615.08,2558.13,2602.15,,1.24,2183.27,164.36
20070305,930955,红利低波100,2606.27,2644.98,2522.98,2588.55,,-0.52,2486.28,190.31
20070306,930955,红利低波100,2576.84,2605.23,2553.79,2601.1,,0.49,1659.35,136.02
20070307,930955,红利低波100,2609.93,2652.99,2609.93,2652.99,,2.0,2069.88,165.25
20070308,930955,红利低波100,2663.17,2706.28,2645.9,2706.28,,2.01,2049.51,163.89
20070309,930955,红利低波100,2708.13,2708.13,2648.61,2679.08,,-1.01,2226.74,182.97
20070312,930955,红利低波100,2680.02,2725.43,2655.65,2725.43,,1.73,2089.67,176.22
20070313,930955,红利低波100,2731.19,2783.54,2721.65,2782.55,,2.1,2357.33,194.07
20070314,930955,红利低波100,2758.11,2786.15,2685.03,2750.08,,-1.17,2471.31,203.38
20070315,930955,红利低波100,2746.53,2809.77,2746.53,2808.65,,2.13,2456.0,208.02
20070316,930955,红利低波100,2814.13,2814.13,2719.74,2742.38,,-2.36,2463.98,207.27
20070319,930955,红利低波100,2652.83,2776.71,2652.83,2770.28,,1.02,2374.04,208.01
